Data source: ../data/simulated/
L = 400, Lp = 100, rank = Phylum, diversity = 1000
min_order = 5, max_order = 80

Order	 Elapsed_READ	 Elapsed_REF	 Elapsed_algo	 VD_HAMDLE	 It
    5	   36.0446	   7.85824	   10.3037	  0.320631	 1000	
    6	   44.1386	   9.24653	   12.0469	  0.364081	 1000	
    7	   44.6584	   9.61673	   13.8109	  0.430453	 1000	
    8	   46.9282	   10.0934	   13.0879	  0.483926	 1000	
    9	   47.7538	   9.89277	   15.1475	  0.484776	 1000	
   10	   49.6881	   9.91081	    29.017	  0.234546	 1000	
   11	   49.2076	   9.60117	   35.5959	  0.442071	 1000	
   12	   51.4204	   9.90934	   34.7115	  0.406888	 1000	
   13	   51.2755	   8.41421	   32.2404	  0.309198	 1000	
   14	   52.5586	   8.79872	   32.7368	  0.380766	 1000	
   15	   53.8066	   8.71708	   38.5638	  0.268581	 1000	
   16	   56.9479	   10.5338	    36.948	  0.350841	 1000	
   17	   55.8228	   10.2392	   37.5887	  0.273883	 1000	
   18	   58.4291	   10.6125	   56.7132	  0.262938	 1000	
   19	   59.2495	   10.5472	   61.6399	  0.330571	 1000	
   20	   61.0587	   10.9125	   71.0461	  0.327958	 1000	
   21	   61.5587	    10.848	   54.0246	  0.218104	 1000	
   22	   57.8588	   9.63816	   82.8267	  0.146373	 1000	
   23	   56.8717	   10.9278	   84.2937	  0.331636	 1000	
   24	   55.7841	   9.82909	   79.7043	  0.225407	 1000	
   25	   55.7942	   9.57489	   93.4842	  0.172194	 1000	
   26	    57.989	   10.6024	   91.1664	  0.200583	 1000	
   27	   58.7018	   10.5395	   99.1314	  0.292996	 1000	
   28	   60.2549	    13.077	   125.422	     0.222	 1000	
   29	   60.3337	   12.6967	   114.494	  0.220471	 1000	
   30	   64.3324	   13.5655	   130.016	  0.253439	 1000	
   31	   63.5547	   13.6833	   172.565	   0.14629	 1000	
   32	    67.052	   14.4793	   149.564	  0.225109	 1000	
   33	   66.6557	   14.1572	   207.004	  0.202063	 1000	
   34	   68.6854	   14.6814	   267.899	  0.226041	 1000	
   35	   67.9226	   14.7032	   226.708	  0.209842	 1000	
   36	   70.8979	   15.3894	   303.802	   0.17792	 1000	
   37	   70.5707	   15.3028	    258.32	  0.196734	 1000	
   38	   73.8158	   15.5661	   49.7256	  0.192411	  261	
   39	   74.0254	    15.502	   257.374	  0.206708	 1000	
   40	    75.823	   16.2655	   326.053	  0.179355	 1000	
   41	   75.8864	   15.7946	   311.646	  0.185052	 1000	
   42	   77.7366	   16.6878	   375.117	  0.254638	 1000	
   43	   76.7405	   16.3545	    381.97	  0.164214	 1000	
   44	   80.0809	   17.3775	   353.965	  0.191984	 1000	
   45	   79.3007	   16.8079	   432.168	  0.165306	 1000	
   46	   83.0327	   17.5692	   461.684	  0.188729	 1000	
   47	   101.291	   17.4215	   469.871	  0.239617	 1000	
   48	   107.811	   17.7777	   547.568	  0.235746	 1000	
   49	   95.6223	   18.1548	   507.514	  0.182702	 1000	
   50	   107.163	   18.4199	   532.142	  0.201921	 1000	
   51	    85.045	   18.1773	   613.715	  0.170115	 1000	
   52	   107.666	   18.7513	   663.387	  0.212702	 1000	
   53	   87.6282	   24.1002	   852.154	  0.254868	 1000	
   54	    114.16	   24.5053	   767.498	  0.242036	 1000	
   55	   87.3416	   19.0406	   726.558	  0.214298	 1000	
   56	   114.189	    20.684	   830.314	  0.169874	 1000	
   57	   112.116	   20.2302	   712.729	  0.298682	 1000	
   58	   96.0625	   20.0153	   942.909	  0.224171	 1000	
   59	   123.293	   20.0334	    899.81	  0.224417	 1000	
   60	   93.8171	   25.7342	   951.044	  0.141158	 1000	
   61	   114.167	   25.1315	   1170.54	  0.226985	 1000	
   62	   96.4658	   22.1561	   1012.69	  0.209458	 1000	
   63	   119.114	   22.0774	   1086.08	   0.20812	 1000	
   64	   129.915	   21.6225	   1051.81	  0.164805	 1000	
   65	   98.8792	   21.9315	    1723.4	  0.162763	 1000	
   66	     143.2	    33.259	   1700.49	  0.152103	 1000	
   67	   144.017	   31.7917	   1751.95	  0.232362	 1000	
   68	   146.118	   31.3648	   1737.65	  0.198803	 1000	
   69	   145.362	   34.0827	   1672.39	   0.17811	 1000	
   70	   153.004	   31.9967	   1885.88	  0.160501	 1000	
   71	   140.422	   31.6649	   1964.56	  0.211536	 1000	
   72	   142.667	   30.2002	   1895.55	  0.187372	 1000	
   73	   104.936	   28.5431	   1639.52	  0.201005	 1000	
   74	   138.185	   25.4731	   1851.33	  0.188459	 1000	
   75	   127.486	   24.1027	   1668.33	   0.14179	 1000	
   76	   117.392	   26.0588	   1836.39	  0.143064	 1000	
   77	   116.442	   24.5529	   2651.99	  0.134463	 1000	
   78	   192.146	   43.9244	   3319.17	  0.190332	 1000	
   79	   186.699	   42.2757	   3501.12	  0.126859	 1000	
   80	   189.296	    43.392	   3330.24	  0.192559	 1000	
